scenario,controller,rmse_rpm,ise,itae,overshoot_%,settling_s,du2,sat_pct,final_speed_rpm
S0_NOMINAL,PID,242.2537756162021,158513294.75262433,34539.23224044906,44.69868091028123,1.291,428.4261790486277,8.182154757497223,1499.9999998744922
S0_NOMINAL,MPC,210.8484209577612,120078509.93164982,6392.186521604662,0.04064983016890741,0.15600000000000003,447.480595590913,5.738615327656423,1500.0140953043713
S1_Rs_PLUS20,PID,242.25371571511246,158513216.3627798,34539.194685461836,44.698694697784596,1.291,428.42590339624206,8.182154757497223,1499.999999874485
S1_Rs_PLUS20,MPC,210.84838095095972,120078464.36378044,6392.17392771886,0.04064544849493359,0.15600000000000003,447.48172397330444,5.738615327656423,1500.014095304371
S2_Rs_MINUS20,PID,242.2538355730474,158513373.21545318,34539.269798146306,44.69866715072591,1.291,428.4264549479801,8.182154757497223,1499.9999998745009
S2_Rs_MINUS20,MPC,210.84846101966517,120078555.56228977,6392.199114449009,0.04065420555258849,0.15600000000000003,447.47946852467516,5.738615327656423,1500.014095304371
S3_Rr_PLUS20,PID,240.89506544759251,156740198.3364567,34104.26405196557,44.4557027592586,1.291,428.5437196342104,8.108108108108109,1499.9999999905972
S3_Rr_PLUS20,MPC,209.7096501252716,118784948.99764797,6271.369600377331,0.0558803697265527,0.15500000000000003,448.1128380937619,5.701592002961866,1500.0140953042958
S4_Rr_MINUS20,PID,245.30596492928206,162532719.37712252,35534.7011705079,45.21860398493182,1.291,428.41463376851914,8.367271380970012,1499.9999985850955
S4_Rr_MINUS20,MPC,213.41139736028853,123015490.6373549,6672.662171961994,0.025807807958350772,0.15900000000000003,447.01310212834676,5.849685301740096,1500.0140953034525
S5_Lsigma_PLUS20,PID,242.995608237101,159485584.04642293,34852.7894089135,44.788879081310036,1.292,428.30311463886926,8.256201406886339,1499.9999998637093
S5_Lsigma_PLUS20,MPC,211.47383128091553,120791910.73621528,6467.285677161734,0.039112428378560556,0.15700000000000003,447.64656903071045,5.775638652350981,1500.0145201814205
S6_Lsigma_MINUS20,PID,241.50897036540454,157540100.05355313,34227.621550910866,44.60588271674427,1.29,428.1134258451684,8.145131432802666,1499.9999998844928
S6_Lsigma_MINUS20,MPC,210.22187860847006,119365936.50156635,6317.638121945415,0.043219940786593726,0.15500000000000003,447.4116023295822,5.701592002961866,1500.0136713375123
S7_Lm_PLUS10,PID,253.49440382942723,173564673.899432,39127.79854322994,47.552428991726806,1.297,436.8891926643459,9.107737874861163,1499.9999978919896
S7_Lm_PLUS10,MPC,220.1589101026932,130917323.32923311,7550.222412042904,0.15651697829888084,0.16900000000000004,455.3396812813005,6.219918548685672,1500.018633492668
S8_Lm_MINUS10,PID,268.83804432463364,195211787.9000693,48177.00261133263,47.22477155867785,1.314,430.13460080981025,10.292484265087005,1499.9999998047167
S8_Lm_MINUS10,MPC,233.64494170056034,147447478.6708795,9644.455847530975,0.023357791901056163,0.191,449.851535504625,7.034431691965938,1500.0276103442382
S9_HEAVY_LOAD,PID,265.2710984804437,190066009.11604643,443700.2220362126,44.69868091028123,inf,437.92636153167905,62.05109218807849,1377.7129883340867
S9_HEAVY_LOAD,MPC,210.85339667743597,120084177.35900325,7643.431566572155,0.04064983016890741,0.15600000000000003,597.3013404823834,12.847093669011478,1500.0550932258327
